reference;polymer_type;polymer_type_style;polymer_architecture;polymerisation_type;SMILES_start_group;SMILES_end_group;SMILES_repeating_unitA;molpercent_repeating_unitA;SMILES_repeating_unitB;molpercent_repeating_unitB;SMILES_repeating_unitC;molpercent_repeating_unitC;SMILES_repeating_unitD;molpercent_repeating_unitD;SMILES_repeating_unitE;molpercent_repeating_unitE;Mn;Mw;PDI;mass_characterisation_method;mass_characterisation_standart;polymer_concentration_mass_conc;polymer_concentration_wpercent;additive1;additive1_concentration_molar;additive1_concentration_weight_percent;additive2;additive2_concentration_molar;additive2_concentration_weight_percent;cloud_point;N/A;def_type;pH;identifier;comment;tacticity;rating
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaCl;0,1;;;;;24,3;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaCl;0,2;;;;;23,4;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaCl;0,3;;;;;22,4;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaCl;0,4;;;;;21,3;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaCl;0,5;;;;;20,6;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiClO4;0,1;;;;;30,3;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiClO4;0,2;;;;;32,3;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiClO4;0,3;;;;;33,6;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiClO4;0,4;;;;;35,3;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiClO4;0,5;;;;;35,5;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiI;0,1;;;;;29,7;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiI;0,2;;;;;32;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiI;0,3;;;;;33,9;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiI;0,4;;;;;34,1;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;LiI;0,5;;;;;38,4;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaI;0,1;;;;;29,9;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaI;0,2;;;;;32,7;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaI;0,3;;;;;34,7;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaI;0,4;;;;;37,2;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaI;0,5;;;;;38,5;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaClO4;0,1;;;;;32,4;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaClO4;0,2;;;;;35,6;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaClO4;0,3;;;;;37,2;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaClO4;0,4;;;;;39,9;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaClO4;0,5;;;;;40;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaSCN;0,1;;;;;31,8;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaSCN;0,2;;;;;35,9;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaSCN;0,3;;;;;39,6;;C;;PnPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)CCC)C[CH2];1; ;;;;;;;;4800;;1,17;SEC(CHCl3);PS;0,005;;NaSCN;0,4;;;;;41,5;;C;;PnPropOx;;;
